_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved (2017 - Present),Total ARH Approved (2017 - Present),Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
122,ARH0173,50 Wilson Heights,50 Wilson Heights Blvd,Under Review,6,York Centre,468,520,520,52,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.44911461, 43.73538198]]}"
123,ARH0174,502-508 Spadina Ave,502 Spadina Ave,Under Review,11,University-Rosedale,129,129,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40081069, 43.65869418]]}"
124,ARH0176,510-528 Yonge Street and 7 Breadalbane StreetÂ ,510 Yonge St,Under Review,13,Toronto Centre,25,25,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38417999, 43.66342015]]}"
125,ARH0177,525 Markham Road,525 Markham Rd,Under Construction,24,Scarborough-Guildwood,62,62,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.22397358, 43.75675421]]}"
126,ARH0179,540 Cedarvale Avenue,540 Cedarvale Ave,Occupied,19,Beaches-East York,0,59,0,59,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.31672339, 43.69838232]]}"
127,ARH0180,54-56 Kensington Avenue,54 Kensington Ave,Occupied,11,University-Rosedale,12,12,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40059628, 43.65412037]]}"
128,ARH0182,5507 and 5509 Dundas Street West,5507 Dundas St W,Under Review,3,Etobicoke-Lakeshore,6,6,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.54476522, 43.63167275]]}"
129,ARH0187,6 Dawes Road,6 Dawes Rd,Under Review,19,Beaches-East York,6,6,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.29877738, 43.68711716]]}"
130,ARH0188,6 Shipman Street,6 Shipman St,Under Review,4,Parkdale-High Park,2,2,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.475807, 43.666913]]}"
131,ARH0189,6020 Bathurst Street,6020 Bathurst St,Under Review,6,York Centre,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.44737422, 43.78708751]]}"
132,ARH0190,6040 Bathurst Street,6040 Bathurst St,Under Review,6,York Centre,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.44765194, 43.78904449]]}"
133,ARH0191,62 Orchard Park Drive,62 Orchard Park Dr,Under Review,25,Scarborough-Rouge Park,47,47,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.17960779, 43.77419123]]}"
134,ARH0193,625 Church Street,625 Church St,Under Review,11,University-Rosedale,15,15,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38235004, 43.66989506]]}"
135,ARH0194,630 Spadina Avenue,630 Spadina Avenue ,Under Review,11,University-Rosedale,47,47,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.402491, 43.662618]]}"
136,ARH0197,65 Dundas St E - phase 1 ,65 Dundas St E,Occupied,13,Toronto Centre,0,92,0,92,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37845424, 43.65601111]]}"
137,ARH0198,65 Dundas St E - phase 2,65 Dundas St E,Pre-Planning,13,Toronto Centre,0,188,0,188,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.37845424, 43.65601111]]}"
138,ARH0200,65 to 99 Silver Springs Blvd,65 Silver Springs Blvd,Under Review,22,Scarborough-Agincourt,9,9,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.30423789, 43.80132103]]}"
139,ARH0203,7 Vanauley Street,7 Vanauley St,Final Planning Approval,10,Spadina-Fort York,0,31,0,31,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39830825, 43.64882517]]}"
140,ARH0204,705 Warden Avenue,705 Warden Ave,Under Review,20,Scarborough Southwest,225,250,350,25,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.28062463, 43.71343298]]}"
141,ARH0205,729 St Clair Avenue West,729 St Clair Ave W,Pre-Planning,12,Toronto-St. PaulÂs,26,26,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4274778, 43.6811414]]}"
142,ARH0206,75 Tandridge Crescent,75 Tandridge Crescent,Under Review,1,Etobicoke North,113,113,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.54647089, 43.72900648]]}"
143,ARH0207,770 Don Mills Road,770 Don Mills Rd,Under Review,16,Don Valley East,376,418,836,42,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.33814896, 43.7164526]]}"
144,ARH0208,777 Victoria Park,777 Victoria Park Ave,Under Review,20,Scarborough Southwest,230,256,449,26,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.28915706, 43.69454357]]}"
145,ARH0209,7-9 Norris Crescent,17 Norris Cr,Under Review,3,Etobicoke-Lakeshore,33,33,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.48839647, 43.61104091]]}"
146,ARH0211,805 Don Mills Road,805 Don Mills Rd,Under Review,16,Don Valley East,257,286,268,29,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.33830504, 43.72021841]]}"
147,ARH0212,815-845 Eglinton Avenue East,815 Eglinton Ave E,Under Review,15,Don Valley West,40,40,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36428549, 43.7135245]]}"
148,ARH0214,835-841 Queen Street East,835 Queen St E,Under Review,14,Toronto-Danforth,96,96,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.34403496, 43.65999345]]}"
149,ARH0215,838 - 844 Broadview Avenue,838 Broadview Ave,Final Planning Approval,14,Toronto-Danforth,2,2,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.35866499, 43.67863314]]}"
150,ARH0217,877 Yonge Street (Phase 1),877 Yonge St,Occupied,11,University-Rosedale,0,88,0,88,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38797583, 43.67425754]]}"
151,ARH0218,880 - 882 & 888 Eastern Avenue and 74 - 80 Knox Avenue,880 Eastern Ave,Under Review,14,Toronto-Danforth,6,6,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.325966, 43.662967]]}"
152,ARH0219,880-884 Kingston Road,884 Kingston Rd,Under Review,19,Beaches-East York,20,20,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.29032179, 43.68043916]]}"
153,ARH0221,888 Dupont Street,888 Dupont St,Under Review,11,University-Rosedale,20,20,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.42892166, 43.67055435]]}"
154,ARH0223,"90 and 100 Simcoe Street, 130 Pearl Street, and 203, 207, and 211 Adelaide Street West",100 Simcoe St,Under Review,24,Scarborough-Guildwood,28,28,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38676275, 43.64820052]]}"
155,ARH0224,900 Dufferin Street,900 Dufferin St,Under Review,9,Davenport,120,120,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43536233, 43.65581706]]}"
156,ARH0225,930 Albion Road,930 Albion Rd,Under Review,1,Etobicoke North,60,60,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.56150718, 43.73575354]]}"
157,ARH0226,938-960 King Street West and 95-99 Strachan Avenue,950 King St W,Under Review,10,Spadina-Fort York,35,35,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41180491, 43.64228928]]}"
158,ARH0227,963-967 Pharmacy Avenue,963 Pharmacy Ave,Under Review,21,Scarborough Centre,8,8,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.30050342, 43.73485737]]}"
159,ARH0228,976 College Street,976 College St,Under Review,9,Davenport,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.427965, 43.65343336]]}"
160,ARH0230,175 Oak Street - Block 16N (Regent Park Phase 2 and 3),175 Oak St,Under Construction,13,Toronto Centre,24,55,0,31,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36058855, 43.66205296]]}"
